# alfa=-1 beta=3 gamma=1.5 omega=0.6 k=0
18.28 1.01138 -0.722194 -1.07279 -0.422832
18.29 1.0006 -0.726444 -1.09236 -0.418464
18.3 0.989621 -0.730649 -1.11115 -0.413941
18.31 0.978454 -0.73481 -1.12915 -0.40926
18.32 0.967106 -0.738923 -1.14637 -0.404423
18.33 0.955585 -0.742987 -1.16282 -0.399428
18.34 0.943898 -0.747001 -1.17853 -0.394275
18.35 0.932054 -0.750964 -1.19348 -0.388964
18.36 0.920059 -0.754873 -1.20771 -0.383495
18.37 0.907921 -0.758727 -1.22122 -0.377869
18.38 0.895648 -0.762525 -1.23403 -0.372086
18.39 0.883246 -0.766265 -1.24616 -0.366147
18.4 0.870721 -0.769944 -1.25762 -0.360051
18.41 0.858082 -0.773563 -1.26844 -0.353801
18.42 0.845334 -0.777119 -1.27862 -0.347396
18.43 0.832484 -0.78061 -1.28819 -0.340838
18.44 0.819537 -0.784036 -1.29718 -0.334128
18.45 0.8065 -0.787394 -1.30559 -0.327268
18.46 0.793379 -0.790683 -1.31345 -0.32026
18.47 0.780179 -0.793901 -1.32079 -0.313104
18.48 0.766904 -0.797048 -1.32762 -0.305803
18.49 0.753562 -0.800121 -1.33396 -0.29836
18.5 0.740155 -0.80312 -1.33984 -0.290775
18.51 0.726689 -0.806042 -1.34528 -0.283052
18.52 0.713169 -0.808887 -1.3503 -0.275193
18.53 0.699598 -0.811653 -1.35493 -0.267201
18.54 0.685981 -0.814338 -1.35917 -0.259079
18.55 0.672321 -0.816942 -1.36307 -0.250829
18.56 0.658622 -0.819463 -1.36663 -0.242456
18.57 0.644887 -0.8219 -1.36988 -0.233961
18.58 0.63112 -0.824251 -1.37284 -0.225349
18.59 0.617322 -0.826516 -1.37553 -0.216624
18.6 0.603498 -0.828693 -1.37797 -0.207788
18.61 0.589649 -0.830781 -1.38018 -0.198847
18.62 0.575778 -0.83278 -1.38219 -0.189803
18.63 0.561887 -0.834687 -1.38401 -0.180662
18.64 0.547978 -0.836503 -1.38566 -0.171427
18.65 0.534051 -0.838226 -1.38716 -0.162103
18.66 0.52011 -0.839855 -1.38854 -0.152694
18.67 0.506155 -0.84139 -1.38979 -0.143206
18.68 0.492187 -0.842829 -1.39096 -0.133643
18.69 0.478208 -0.844172 -1.39204 -0.124009
18.7 0.464218 -0.845418 -1.39307 -0.11431
18.71 0.450217 -0.846567 -1.39405 -0.104551
18.72 0.436207 -0.847618 -1.395 -0.0947366
18.73 0.422187 -0.84857 -1.39594 -0.0848726
18.74 0.408157 -0.849423 -1.39689 -0.074964
18.75 0.394118 -0.850176 -1.39785 -0.0650163
18.76 0.38007 -0.85083 -1.39884 -0.0550349
18.77 0.366011 -0.851383 -1.39987 -0.0450252
18.78 0.351942 -0.851835 -1.40096 -0.0349927
18.79 0.337862 -0.852187 -1.40212 -0.024943
18.8 0.323771 -0.852438 -1.40336 -0.0148817
18.81 0.309667 -0.852587 -1.4047 -0.00481428
18.82 0.295549 -0.852636 -1.40614 0.00525357
18.83 0.281417 -0.852583 -1.4077 0.0153163
18.84 0.26727 -0.852429 -1.40938 0.0253682
18.85 0.253105 -0.852174 -1.4112 0.0354038
18.86 0.238922 -0.851818 -1.41316 0.0454175
18.87 0.22472 -0.851362 -1.41528 0.0554038
18.88 0.210496 -0.850805 -1.41756 0.0653571
18.89 0.19625 -0.850148 -1.42 0.0752719
18.9 0.181978 -0.849392 -1.42263 0.0851429
18.91 0.167681 -0.848536 -1.42543 0.0949648
18.92 0.153355 -0.847581 -1.42843 0.104732
18.93 0.138999 -0.846529 -1.43162 0.11444
18.94 0.124611 -0.845379 -1.43502 0.124083
18.95 0.110189 -0.844132 -1.43862 0.133655
18.96 0.0957302 -0.842788 -1.44243 0.143153
18.97 0.0812335 -0.84135 -1.44645 0.152572
18.98 0.0666964 -0.839816 -1.4507 0.161906
18.99 0.0521167 -0.838189 -1.45516 0.17115
19 0.0374921 -0.836469 -1.45985 0.180301
19.01 0.0228203 -0.834657 -1.46476 0.189354
19.02 0.00809925 -0.832754 -1.4699 0.198305
19.03 -0.00667347 -0.830761 -1.47526 0.207149
19.04 -0.0215001 -0.828679 -1.48086 0.215882
19.05 -0.036383 -0.826509 -1.48667 0.224501
19.06 -0.0513243 -0.824253 -1.49272 0.233002
19.07 -0.0663264 -0.821911 -1.49899 0.241381
19.08 -0.0813915 -0.819486 -1.50548 0.249634
19.09 -0.0965218 -0.816977 -1.51219 0.25776
19.1 -0.11172 -0.814386 -1.51912 0.265753
19.11 -0.126987 -0.811715 -1.52626 0.273612
19.12 -0.142326 -0.808965 -1.53361 0.281333
19.13 -0.157739 -0.806138 -1.54116 0.288914
19.14 -0.173228 -0.803234 -1.5489 0.296353
19.15 -0.188795 -0.800256 -1.55683 0.303646
19.16 -0.204441 -0.797204 -1.56495 0.310793
19.17 -0.220169 -0.794081 -1.57324 0.31779
19.18 -0.23598 -0.790887 -1.58169 0.324635
19.19 -0.251877 -0.787624 -1.59029 0.331329
19.2 -0.267859 -0.784294 -1.59904 0.337867
19.21 -0.28393 -0.780899 -1.60791 0.34425
19.22 -0.30009 -0.777439 -1.61691 0.350476
19.23 -0.31634 -0.773917 -1.626 0.356544
19.24 -0.332682 -0.770333 -1.63519 0.362453
19.25 -0.349115 -0.766691 -1.64445 0.368202
19.26 -0.365642 -0.76299 -1.65376 0.373791
19.27 -0.382263 -0.759233 -1.66311 0.379219
19.28 -0.398978 -0.755422 -1.67248 0.384486
19.29 -0.415786 -0.751558 -1.68185 0.389591
19.3 -0.432689 -0.747643 -1.6912 0.394535
19.31 -0.449686 -0.743677 -1.7005 0.399318
19.32 -0.466776 -0.739664 -1.70973 0.40394
19.33 -0.48396 -0.735605 -1.71887 0.408402
19.34 -0.501234 -0.7315 -1.72788 0.412703
19.35 -0.5186 -0.727352 -1.73675 0.416844
19.36 -0.536054 -0.723163 -1.74543 0.420827
19.37 -0.553596 -0.718934 -1.75391 0.424652
19.38 -0.571223 -0.714666 -1.76215 0.42832
19.39 -0.588933 -0.710361 -1.77011 0.431831
19.4 -0.606723 -0.706021 -1.77777 0.435188
19.41 -0.62459 -0.701647 -1.78508 0.438392
19.42 -0.64253 -0.697242 -1.79201 0.441443
19.43 -0.66054 -0.692805 -1.79852 0.444344
19.44 -0.678616 -0.688339 -1.80456 0.447095
19.45 -0.696752 -0.683846 -1.81011 0.449699
19.46 -0.714944 -0.679326 -1.81511 0.452157
19.47 -0.733186 -0.674782 -1.81953 0.454471
19.48 -0.751473 -0.670214 -1.82331 0.456643
19.49 -0.769797 -0.665625 -1.82641 0.458674
19.5 -0.788153 -0.661015 -1.82878 0.460567
19.51 -0.806533 -0.656387 -1.83038 0.462324
19.52 -0.824928 -0.65174 -1.83116 0.463946
19.53 -0.843332 -0.647077 -1.83105 0.465436
19.54 -0.861734 -0.6424 -1.83002 0.466796
19.55 -0.880126 -0.637708 -1.82802 0.468028
19.56 -0.898498 -0.633005 -1.82498 0.469135
19.57 -0.916839 -0.62829 -1.82087 0.470118
19.58 -0.935139 -0.623565 -1.81561 0.470981
19.59 -0.953387 -0.618832 -1.80917 0.471725
19.6 -0.971569 -0.614091 -1.8015 0.472352
19.61 -0.989674 -0.609343 -1.79253 0.472866
19.62 -1.00769 -0.604591 -1.78222 0.473269
19.63 -1.0256 -0.599835 -1.77051 0.473562
19.64 -1.0434 -0.595075 -1.75737 0.473749
19.65 -1.06106 -0.590314 -1.74273 0.473831
19.66 -1.07857 -0.585552 -1.72657 0.473812
19.67 -1.09592 -0.58079 -1.70882 0.473693
19.68 -1.1131 -0.576029 -1.68945 0.473478
19.69 -1.13008 -0.571271 -1.66841 0.473168
19.7 -1.14684 -0.566515 -1.64569 0.472766
19.71 -1.16338 -0.561764 -1.62122 0.472275
19.72 -1.17968 -0.557018 -1.595 0.471697
19.73 -1.19571 -0.552277 -1.56699 0.471034
19.74 -1.21146 -0.547543 -1.53717 0.470288
19.75 -1.22691 -0.542816 -1.50551 0.469463
19.76 -1.24204 -0.538098 -1.47202 0.46856
19.77 -1.25683 -0.533389 -1.43667 0.467581
19.78 -1.27127 -0.52869 -1.39947 0.46653
19.79 -1.28533 -0.524001 -1.36042 0.465409
19.8 -1.29901 -0.519324 -1.31952 0.464219
19.81 -1.31227 -0.514658 -1.27678 0.462962
19.82 -1.3251 -0.510005 -1.23224 0.461642
19.83 -1.33748 -0.505366 -1.18591 0.460261
19.84 -1.3494 -0.50074 -1.13782 0.45882
19.85 -1.36084 -0.496129 -1.08802 0.457321
19.86 -1.37177 -0.491533 -1.03654 0.455768
19.87 -1.38219 -0.486952 -0.983445 0.454161
19.88 -1.39207 -0.482388 -0.928787 0.452503
19.89 -1.40141 -0.47784 -0.872631 0.450797
19.9 -1.41018 -0.47331 -0.815047 0.449043
19.91 -1.41837 -0.468797 -0.756113 0.447244
19.92 -1.42597 -0.464302 -0.69591 0.445402
19.93 -1.43296 -0.459825 -0.634527 0.443519
19.94 -1.43934 -0.455368 -0.572059 0.441596
19.95 -1.44509 -0.45093 -0.508603 0.439636
19.96 -1.4502 -0.446511 -0.444264 0.43764
19.97 -1.45467 -0.442113 -0.379149 0.43561
19.98 -1.45848 -0.437735 -0.31337 0.433548
19.99 -1.46163 -0.433378 -0.247042 0.431455
20 -1.46411 -0.429042 -0.180283 0.429333
20.01 -1.46592 -0.424727 -0.113212 0.427184
20.02 -1.46706 -0.420433 -0.0459528 0.425009
20.03 -1.46752 -0.416162 0.0213727 0.42281
20.04 -1.4673 -0.411913 0.0886404 0.420588
20.05 -1.46641 -0.407686 0.155727 0.418345
20.06 -1.46485 -0.403481 0.222508 0.416082
20.07 -1.46261 -0.3993 0.288863 0.413801
20.08 -1.45971 -0.395141 0.354671 0.411503
20.09 -1.45614 -0.391005 0.419814 0.409189
20.1 -1.45193 -0.386893 0.484177 0.406861
20.11 -1.44706 -0.382804 0.547648 0.40452
20.12 -1.44156 -0.378738 0.61012 0.402167
20.13 -1.43542 -0.374696 0.671489 0.399803
20.14 -1.42868 -0.370678 0.731656 0.39743
20.15 -1.42132 -0.366684 0.790526 0.395048
20.16 -1.41338 -0.362714 0.848013 0.392659
20.17 -1.40485 -0.358767 0.904033 0.390265
20.18 -1.39577 -0.354845 0.95851 0.387865
20.19 -1.38614 -0.350947 1.01137 0.385461
20.2 -1.37597 -0.347073 1.06256 0.383054
20.21 -1.36529 -0.343223 1.11201 0.380645
20.22 -1.35412 -0.339398 1.15967 0.378235
20.23 -1.34246 -0.335597 1.20551 0.375825
20.24 -1.33035 -0.331819 1.24947 0.373416
20.25 -1.31779 -0.328067 1.29154 0.371008
20.26 -1.30481 -0.324338 1.33168 0.368602
20.27 -1.29142 -0.320633 1.36988 0.3662
20.28 -1.27766 -0.316953 1.40612 0.363801
20.29 -1.26353 -0.313297 1.4404 0.361408
20.3 -1.24905 -0.309665 1.47272 0.359019
20.31 -1.23425 -0.306056 1.50308 0.356637
20.32 -1.21914 -0.302472 1.53149 0.354262
20.33 -1.20375 -0.298912 1.55796 0.351894
20.34 -1.18809 -0.295375 1.58253 0.349534
20.35 -1.17219 -0.291862 1.6052 0.347184
20.36 -1.15606 -0.288373 1.62601 0.344842
20.37 -1.13971 -0.284907 1.64499 0.34251
20.38 -1.12318 -0.281465 1.66217 0.340189
20.39 -1.10648 -0.278046 1.67759 0.337879
20.4 -1.08962 -0.27465 1.6913 0.33558
20.41 -1.07262 -0.271278 1.70333 0.333293
20.42 -1.0555 -0.267928 1.71373 0.331019
20.43 -1.03828 -0.264601 1.72254 0.328758
20.44 -1.02096 -0.261297 1.72983 0.32651
20.45 -1.00358 -0.258016 1.73563 0.324276
20.46 -0.986136 -0.254757 1.73999 0.322056
20.47 -0.968649 -0.25152 1.74298 0.319851
20.48 -0.951132 -0.248305 1.74463 0.317661
20.49 -0.933598 -0.245113 1.74501 0.315486
20.5 -0.91606 -0.241942 1.74417 0.313327
20.51 -0.898531 -0.238793 1.74215 0.311183
20.52 -0.881022 -0.235666 1.73901 0.309057
20.53 -0.863545 -0.23256 1.7348 0.306946
20.54 -0.84611 -0.229475 1.72958 0.304853
20.55 -0.828727 -0.226411 1.72339 0.302777
20.56 -0.811407 -0.223368 1.71628 0.300719
20.57 -0.794158 -0.220346 1.70831 0.298678
20.58 -0.776989 -0.217344 1.69951 0.296655
20.59 -0.759909 -0.214362 1.68995 0.29465
20.6 -0.742925 -0.211401 1.67965 0.292664
20.61 -0.726044 -0.20846 1.66866 0.290696
20.62 -0.709273 -0.205538 1.65704 0.288748
20.63 -0.69262 -0.202636 1.64481 0.286818
20.64 -0.676089 -0.199754 1.63202 0.284907
20.65 -0.659687 -0.19689 1.61871 0.283016
20.66 -0.643419 -0.194046 1.60491 0.281145
20.67 -0.627289 -0.19122 1.59067 0.279293
20.68 -0.611303 -0.188414 1.576 0.27746
20.69 -0.595464 -0.185625 1.56096 0.275648
20.7 -0.579776 -0.182855 1.54556 0.273856
20.71 -0.564243 -0.180102 1.52984 0.272084
20.72 -0.548868 -0.177368 1.51383 0.270332
20.73 -0.533653 -0.174651 1.49755 0.268601
20.74 -0.518603 -0.171952 1.48103 0.26689
20.75 -0.503718 -0.169269 1.4643 0.2652
20.76 -0.489002 -0.166604 1.44737 0.263531
20.77 -0.474455 -0.163955 1.43028 0.261882
20.78 -0.460081 -0.161323 1.41303 0.260254
20.79 -0.44588 -0.158708 1.39566 0.258647
20.8 -0.431853 -0.156108 1.37817 0.257061
20.81 -0.418002 -0.153525 1.36059 0.255496
20.82 -0.404328 -0.150957 1.34294 0.253952
20.83 -0.390831 -0.148405 1.32522 0.252429
20.84 -0.377513 -0.145868 1.30745 0.250928
20.85 -0.364372 -0.143346 1.28965 0.249447
20.86 -0.351411 -0.140839 1.27183 0.247988
20.87 -0.338629 -0.138347 1.254 0.24655
20.88 -0.326026 -0.135869 1.23617 0.245133
20.89 -0.313603 -0.133405 1.21834 0.243738
20.9 -0.301358 -0.130956 1.20054 0.242364
20.91 -0.289292 -0.12852 1.18277 0.241011
20.92 -0.277405 -0.126098 1.16504 0.23968
20.93 -0.265696 -0.123689 1.14735 0.23837
20.94 -0.254165 -0.121293 1.1297 0.237081
20.95 -0.242812 -0.11891 1.11212 0.235814
20.96 -0.231635 -0.11654 1.0946 0.234568
20.97 -0.220634 -0.114183 1.07714 0.233344
20.98 -0.209808 -0.111838 1.05976 0.23214
20.99 -0.199158 -0.109505 1.04245 0.230958
21 -0.188681 -0.107184 1.02522 0.229798
21.01 -0.178377 -0.104874 1.00807 0.228659
21.02 -0.168246 -0.102576 0.991005 0.227541
21.03 -0.158286 -0.100289 0.97403 0.226444
21.04 -0.148497 -0.0980134 0.957144 0.225369
21.05 -0.138878 -0.0957484 0.940349 0.224315
21.06 -0.129427 -0.093494 0.923647 0.223283
21.07 -0.120144 -0.09125 0.90704 0.222271
21.08 -0.111028 -0.0890162 0.890527 0.221281
21.09 -0.102078 -0.0867922 0.87411 0.220312
21.1 -0.0932934 -0.0845781 0.85779 0.219364
21.11 -0.0846725 -0.0823734 0.841567 0.218437
21.12 -0.0762146 -0.0801781 0.82544 0.217531
21.13 -0.0679188 -0.0779919 0.80941 0.216647
21.14 -0.0597841 -0.0758145 0.793477 0.215783
21.15 -0.0518095 -0.0736459 0.777641 0.214941
21.16 -0.0439941 -0.0714857 0.7619 0.214119
21.17 -0.0363369 -0.0693338 0.746255 0.213319
21.18 -0.0288369 -0.0671899 0.730705 0.212539
21.19 -0.0214932 -0.0650538 0.715249 0.211781
21.2 -0.0143048 -0.0629254 0.699886 0.211043
21.21 -0.00727085 -0.0608044 0.684616 0.210326
21.22 -0.000390348 -0.0586905 0.669437 0.20963
21.23 0.0063376 -0.0565837 0.654348 0.208955
21.24 0.0129139 -0.0544837 0.639349 0.2083
21.25 0.0193395 -0.0523902 0.624438 0.207666
21.26 0.0256152 -0.0503032 0.609615 0.207053
21.27 0.0317419 -0.0482222 0.594877 0.206461
21.28 0.0377205 -0.0461473 0.580224 0.205889
21.29 0.0435519 -0.0440781 0.565655 0.205338
21.3 0.0492368 -0.0420144 0.551168 0.204807
21.31 0.0547761 -0.039956 0.536763 0.204297
21.32 0.0601707 -0.0379028 0.522437 0.203808
21.33 0.0654213 -0.0358545 0.50819 0.203338
21.34 0.0705287 -0.0338109 0.494021 0.20289
21.35 0.0754937 -0.0317719 0.479928 0.202462
21.36 0.080317 -0.0297371 0.46591 0.202054
21.37 0.0849995 -0.0277064 0.451967 0.201666
21.38 0.0895418 -0.0256796 0.438096 0.201299
21.39 0.0939448 -0.0236565 0.424297 0.200952
21.4 0.098209 -0.0216369 0.410568 0.200626
21.41 0.102335 -0.0196206 0.396909 0.20032
21.42 0.106324 -0.0176074 0.383318 0.200034
21.43 0.110177 -0.015597 0.369795 0.199768
21.44 0.113893 -0.0135893 0.356338 0.199522
21.45 0.117474 -0.0115841 0.342946 0.199297
21.46 0.120921 -0.0095811 0.329619 0.199091
21.47 0.124234 -0.0075802 0.316355 0.198906
21.48 0.127413 -0.00558116 0.303153 0.198741
21.49 0.13046 -0.00358378 0.290014 0.198595
21.5 0.133375 -0.00158787 0.276935 0.19847
21.51 0.136158 0.000406794 0.263915 0.198365
21.52 0.13881 0.0024004 0.250956 0.19828
21.53 0.141332 0.00439314 0.238054 0.198215
21.54 0.143725 0.00638524 0.22521 0.19817
21.55 0.145988 0.00837687 0.212423 0.198144
21.56 0.148123 0.0103683 0.199692 0.198139
21.57 0.15013 0.0123596 0.187016 0.198153
21.58 0.15201 0.0143511 0.174396 0.198188
21.59 0.153762 0.0163429 0.161829 0.198242
21.6 0.155389 0.0183352 0.149316 0.198316
21.61 0.156889 0.0203284 0.136856 0.19841
21.62 0.158265 0.0223224 0.124449 0.198524
21.63 0.159516 0.0243176 0.112093 0.198657
21.64 0.160642 0.0263141 0.0997892 0.198811
21.65 0.161645 0.0283122 0.0875358 0.198984
21.66 0.162525 0.030312 0.0753327 0.199176
21.67 0.163282 0.0323138 0.0631795 0.199389
21.68 0.163917 0.0343177 0.0510755 0.199621
21.69 0.16443 0.0363239 0.0390205 0.199873
21.7 0.164822 0.0383327 0.0270138 0.200145
21.71 0.165094 0.0403442 0.0150551 0.200436
21.72 0.165245 0.0423586 0.00314382 0.200747
21.73 0.165277 0.0443761 -0.00872038 0.201078
21.74 0.165189 0.046397 -0.020538 0.201429
21.75 0.164983 0.0484214 -0.0323094 0.201799
21.76 0.164658 0.0504495 -0.0440351 0.202188
21.77 0.164215 0.0524815 -0.0557156 0.202598
21.78 0.163656 0.0545177 -0.0673512 0.203027
21.79 0.162979 0.0565581 -0.0789424 0.203475
21.8 0.162185 0.0586031 -0.0904897 0.203944
21.81 0.161276 0.0606528 -0.101993 0.204431
21.82 0.160251 0.0627073 -0.113454 0.204939
21.83 0.159111 0.064767 -0.124872 0.205466
21.84 0.157856 0.066832 -0.136249 0.206012
21.85 0.156486 0.0689024 -0.147583 0.206578
21.86 0.155003 0.0709786 -0.158877 0.207164
21.87 0.153406 0.0730606 -0.17013 0.207769
21.88 0.151696 0.0751487 -0.181342 0.208394
21.89 0.149874 0.0772431 -0.192516 0.209038
21.9 0.147939 0.079344 -0.20365 0.209702
21.91 0.145892 0.0814515 -0.214746 0.210386
21.92 0.143734 0.0835659 -0.225804 0.211088
21.93 0.141465 0.0856874 -0.236825 0.211811
21.94 0.139085 0.0878161 -0.247809 0.212553
21.95 0.136594 0.0899523 -0.258757 0.213314
21.96 0.133994 0.0920962 -0.26967 0.214095
21.97 0.131283 0.0942479 -0.280548 0.214895
21.98 0.128464 0.0964076 -0.291392 0.215714
21.99 0.125535 0.0985756 -0.302203 0.216553
22 0.122498 0.100752 -0.312981 0.217412
22.01 0.119353 0.102937 -0.323727 0.21829
22.02 0.116099 0.105131 -0.334442 0.219187
22.03 0.112738 0.107334 -0.345127 0.220103
22.04 0.109269 0.109546 -0.355782 0.221039
22.05 0.105694 0.111767 -0.366408 0.221994
22.06 0.102011 0.113998 -0.377005 0.222969
22.07 0.0982221 0.116239 -0.387576 0.223962
22.08 0.0943269 0.11849 -0.39812 0.224975
22.09 0.0903258 0.120751 -0.408638 0.226007
22.1 0.0862189 0.123023 -0.419132 0.227059
22.11 0.0820065 0.125304 -0.429602 0.228129
22.12 0.077689 0.127597 -0.440048 0.229219
22.13 0.0732664 0.129901 -0.450472 0.230327
22.14 0.0687391 0.132216 -0.460875 0.231455
22.15 0.0641072 0.134542 -0.471258 0.232601
22.16 0.059371 0.13688 -0.48162 0.233767
22.17 0.0545306 0.139229 -0.491964 0.234951
22.18 0.0495863 0.14159 -0.50229 0.236154
22.19 0.0445382 0.143964 -0.512599 0.237377
22.2 0.0393865 0.146349 -0.522891 0.238617
22.21 0.0341314 0.148747 -0.533169 0.239877
22.22 0.0287729 0.151158 -0.543431 0.241155
22.23 0.0233114 0.153582 -0.55368 0.242452
22.24 0.0177468 0.156019 -0.563916 0.243767
22.25 0.0120793 0.158469 -0.574139 0.2451
22.26 0.00630914 0.160932 -0.584351 0.246452
22.27 0.000436311 0.163409 -0.594552 0.247822
22.28 -0.00553904 0.165899 -0.604743 0.249211
22.29 -0.0116168 0.168404 -0.614925 0.250617
22.3 -0.0177969 0.170923 -0.625097 0.252041
22.31 -0.0240792 0.173456 -0.635261 0.253484
22.32 -0.0304637 0.176003 -0.645418 0.254944
22.33 -0.0369503 0.178566 -0.655566 0.256422
22.34 -0.0435388 0.181143 -0.665708 0.257917
22.35 -0.0502293 0.183735 -0.675843 0.25943
22.36 -0.0570216 0.186342 -0.685972 0.26096
22.37 -0.0639158 0.188965 -0.696095 0.262508
22.38 -0.0709116 0.191603 -0.706211 0.264072
22.39 -0.0780092 0.194257 -0.716322 0.265654
22.4 -0.0852083 0.196927 -0.726426 0.267252
22.41 -0.092509 0.199613 -0.736524 0.268867
22.42 -0.0999112 0.202315 -0.746615 0.270498
22.43 -0.107415 0.205033 -0.756699 0.272145
22.44 -0.11502 0.207769 -0.766776 0.273809
22.45 -0.122726 0.21052 -0.776845 0.275489
22.46 -0.130533 0.213289 -0.786906 0.277184
22.47 -0.138442 0.216075 -0.796957 0.278895
22.48 -0.146452 0.218878 -0.806997 0.280621
22.49 -0.154562 0.221698 -0.817025 0.282363
22.5 -0.162773 0.224536 -0.827041 0.284119
22.51 -0.171085 0.227391 -0.837042 0.28589
22.52 -0.179498 0.230265 -0.847027 0.287675
22.53 -0.18801 0.233156 -0.856995 0.289475
22.54 -0.196623 0.236065 -0.866942 0.291289
22.55 -0.205336 0.238993 -0.876867 0.293116
22.56 -0.214149 0.241938 -0.886768 0.294956
22.57 -0.223061 0.244903 -0.896641 0.29681
22.58 -0.232072 0.247886 -0.906485 0.298676
22.59 -0.241183 0.250887 -0.916295 0.300555
22.6 -0.250392 0.253908 -0.926069 0.302445
22.61 -0.259699 0.256948 -0.935803 0.304348
22.62 -0.269104 0.260006 -0.945494 0.306262
22.63 -0.278606 0.263084 -0.955136 0.308187
22.64 -0.288205 0.266182 -0.964726 0.310123
22.65 -0.297901 0.269299 -0.974259 0.312069
22.66 -0.307693 0.272435 -0.98373 0.314025
22.67 -0.317579 0.275591 -0.993134 0.31599
22.68 -0.32756 0.278767 -1.00246 0.317965
22.69 -0.337635 0.281962 -1.01172 0.319948
22.7 -0.347803 0.285178 -1.02088 0.321939
22.71 -0.358063 0.288413 -1.02996 0.323938
22.72 -0.368414 0.291669 -1.03893 0.325944
22.73 -0.378856 0.294945 -1.0478 0.327956
22.74 -0.389386 0.298241 -1.05656 0.329975
22.75 -0.400005 0.301557 -1.06519 0.331999
22.76 -0.41071 0.304894 -1.07369 0.334028
22.77 -0.421501 0.308251 -1.08206 0.336062
22.78 -0.432376 0.311628 -1.09027 0.3381
22.79 -0.443333 0.315026 -1.09832 0.340141
22.8 -0.454372 0.318445 -1.10621 0.342184
22.81 -0.465489 0.321884 -1.11392 0.34423
22.82 -0.476684 0.325343 -1.12143 0.346276
22.83 -0.487955 0.328823 -1.12874 0.348324
22.84 -0.499299 0.332324 -1.13584 0.350371
22.85 -0.510714 0.335845 -1.14271 0.352418
22.86 -0.522199 0.339387 -1.14935 0.354462
22.87 -0.53375 0.34295 -1.15572 0.356505
22.88 -0.545365 0.346533 -1.16184 0.358544
22.89 -0.557042 0.350136 -1.16767 0.36058
22.9 -0.568777 0.35376 -1.1732 0.362611
22.91 -0.580568 0.357404 -1.17843 0.364636
22.92 -0.592411 0.361069 -1.18333 0.366655
22.93 -0.604304 0.364754 -1.18789 0.368666
22.94 -0.616243 0.368459 -1.19209 0.370669
22.95 -0.628223 0.372184 -1.19591 0.372663
22.96 -0.640242 0.37593 -1.19934 0.374647
22.97 -0.652296 0.379695 -1.20236 0.376619
22.98 -0.66438 0.38348 -1.20496 0.378579
22.99 -0.67649 0.387285 -1.20711 0.380526
23 -0.688622 0.391109 -1.2088 0.382459
23.01 -0.70077 0.394953 -1.21 0.384376
23.02 -0.712931 0.398816 -1.2107 0.386276
23.03 -0.725099 0.402698 -1.21088 0.388159
23.04 -0.737268 0.406599 -1.21053 0.390024
23.05 -0.749434 0.410519 -1.20961 0.391868
23.06 -0.761591 0.414457 -1.20811 0.393691
23.07 -0.773733 0.418414 -1.20602 0.395491
23.08 -0.785853 0.422389 -1.20331 0.397268
23.09 -0.797947 0.426381 -1.19997 0.39902
23.1 -0.810007 0.430391 -1.19596 0.400745
23.11 -0.822026 0.434419 -1.19129 0.402443
23.12 -0.833999 0.438464 -1.18592 0.404112
23.13 -0.845918 0.442525 -1.17983 0.40575
23.14 -0.857775 0.446603 -1.17302 0.407357
23.15 -0.869564 0.450697 -1.16546 0.40893
23.16 -0.881277 0.454807 -1.15713 0.410468
23.17 -0.892907 0.458932 -1.14802 0.41197
23.18 -0.904445 0.463072 -1.13811 0.413435
23.19 -0.915883 0.467227 -1.12739 0.41486
23.2 -0.927213 0.471397 -1.11584 0.416244
23.21 -0.938428 0.47558 -1.10346 0.417586
23.22 -0.949518 0.479777 -1.09021 0.418884
23.23 -0.960474 0.483987 -1.0761 0.420136
23.24 -0.971289 0.488209 -1.06112 0.421341
23.25 -0.981954 0.492444 -1.04525 0.422496
23.26 -0.992459 0.49669 -1.02848 0.423601
23.27 -1.0028 0.500947 -1.01082 0.424654
23.28 -1.01295 0.505215 -0.992255 0.425653
23.29 -1.02293 0.509493 -0.972781 0.426595
23.3 -1.0327 0.51378 -0.952396 0.42748
23.31 -1.04227 0.518077 -0.931101 0.428305
23.32 -1.05163 0.522381 -0.908898 0.429069
23.33 -1.06077 0.526693 -0.885789 0.42977
23.34 -1.06967 0.531013 -0.86178 0.430407
23.35 -1.07833 0.535338 -0.836877 0.430976
23.36 -1.08674 0.53967 -0.81109 0.431477
23.37 -1.09489 0.544006 -0.78443 0.431907
23.38 -1.10278 0.548347 -0.756908 0.432265
23.39 -1.11038 0.552691 -0.728542 0.432548
23.4 -1.11771 0.557038 -0.699346 0.432756
23.41 -1.12473 0.561387 -0.669341 0.432885
23.42 -1.13146 0.565738 -0.638547 0.432934
23.43 -1.13788 0.570089 -0.606988 0.432902
23.44 -1.14398 0.57444 -0.574689 0.432786
23.45 -1.14975 0.578789 -0.541676 0.432584
23.46 -1.1552 0.583137 -0.507979 0.432295
23.47 -1.1603 0.587482 -0.473628 0.431917
23.48 -1.16506 0.591822 -0.438656 0.431447
23.49 -1.16947 0.596159 -0.403098 0.430884
23.5 -1.17352 0.600489 -0.36699 0.430226
23.51 -1.17721 0.604813 -0.330369 0.429471
23.52 -1.18053 0.609129 -0.293275 0.428618
23.53 -1.18348 0.613437 -0.255748 0.427664
23.54 -1.18605 0.617735 -0.217829 0.426608
23.55 -1.18824 0.622022 -0.179562 0.425448
23.56 -1.19004 0.626298 -0.140991 0.424183
