# alfa=-1 beta=3 gamma=1.5 omega=0.6 k=0
2.6 -0.725217 -0.744644 0.228242 -0.693344
2.61 -0.722924 -0.751612 0.232158 -0.687918
2.62 -0.72059 -0.758526 0.236076 -0.682212
2.63 -0.718218 -0.765383 0.239996 -0.67622
2.64 -0.715806 -0.772179 0.243916 -0.669941
2.65 -0.713354 -0.778912 0.247837 -0.663369
2.66 -0.710864 -0.785579 0.251758 -0.656501
2.67 -0.708333 -0.792177 0.255677 -0.649335
2.68 -0.705764 -0.798702 0.259595 -0.641868
2.69 -0.703155 -0.805153 0.26351 -0.634097
2.7 -0.700506 -0.811526 0.267423 -0.62602
2.71 -0.697819 -0.817818 0.271333 -0.617635
2.72 -0.695092 -0.824025 0.275239 -0.608941
2.73 -0.692326 -0.830145 0.27914 -0.599936
2.74 -0.68952 -0.836175 0.283038 -0.59062
2.75 -0.686676 -0.84211 0.28693 -0.580992
2.76 -0.683792 -0.847949 0.290818 -0.571051
2.77 -0.680869 -0.853689 0.2947 -0.5608
2.78 -0.677907 -0.859325 0.298576 -0.550237
2.79 -0.674907 -0.864855 0.302447 -0.539364
2.8 -0.671867 -0.870275 0.306312 -0.528183
2.81 -0.668789 -0.875584 0.31017 -0.516696
2.82 -0.665671 -0.880777 0.314022 -0.504905
2.83 -0.662515 -0.885851 0.317868 -0.492813
2.84 -0.659321 -0.890804 0.321707 -0.480423
2.85 -0.656087 -0.895632 0.325541 -0.467739
2.86 -0.652816 -0.900333 0.329368 -0.454765
2.87 -0.649506 -0.904903 0.333188 -0.441506
2.88 -0.646157 -0.909341 0.337003 -0.427966
2.89 -0.64277 -0.913642 0.340812 -0.414152
2.9 -0.639345 -0.917804 0.344615 -0.40007
2.91 -0.635881 -0.921825 0.348413 -0.385725
2.92 -0.63238 -0.925701 0.352205 -0.371125
2.93 -0.62884 -0.929431 0.355993 -0.356277
2.94 -0.625262 -0.933012 0.359776 -0.341189
2.95 -0.621646 -0.936441 0.363555 -0.325869
2.96 -0.617993 -0.939716 0.36733 -0.310326
2.97 -0.614301 -0.942835 0.371102 -0.294569
2.98 -0.610571 -0.945795 0.374871 -0.278606
2.99 -0.606804 -0.948595 0.378638 -0.262449
3 -0.602998 -0.951233 0.382403 -0.246107
3.01 -0.599155 -0.953706 0.386167 -0.22959
3.02 -0.595274 -0.956014 0.389931 -0.21291
3.03 -0.591355 -0.958154 0.393695 -0.196078
3.04 -0.587399 -0.960124 0.397459 -0.179105
3.05 -0.583404 -0.961924 0.401225 -0.162003
3.06 -0.579372 -0.963552 0.404993 -0.144784
3.07 -0.575301 -0.965008 0.408765 -0.12746
3.08 -0.571193 -0.966289 0.41254 -0.110044
3.09 -0.567047 -0.967395 0.41632 -0.0925481
3.1 -0.562863 -0.968325 0.420106 -0.0749856
3.11 -0.558641 -0.969078 0.423898 -0.0573692
3.12 -0.554381 -0.969655 0.427698 -0.039712
3.13 -0.550082 -0.970054 0.431506 -0.0220273
3.14 -0.545746 -0.970275 0.435324 -0.00432822
3.15 -0.54137 -0.970319 0.439152 0.0133719
3.16 -0.536957 -0.970184 0.442992 0.0310598
